Tissue	Number of all reads	Number of aligned reads	Tissue_Color_Code
Pancreas_Head	7312001	7311635	#AB5F2C
Pancreas_Head	7305273	7297536	#AB5F2C
Pancreas_Head	8288440	8287902	#AB5F2C
Pancreas_Head	7475321	7474904	#AB5F2C
Gallbladder	7899529	7899216	#8F8495
Gallbladder	7260996	7259964	#8F8495
Gallbladder	5858538	5857544	#8F8495
Gallbladder	5600943	5600151	#8F8495
Gallbladder	4945032	4944299	#8F8495
Gallbladder	4752869	4752684	#8F8495
Gallbladder	6084606	6083105	#8F8495
Gallbladder	6353150	6352656	#8F8495
Gallbladder	8549341	8549024	#8F8495
Adrenal_Gland	8385718	8384805	#A8D650
Adrenal_Gland	6330836	6329533	#A8D650
Adrenal_Gland	6227553	6226988	#A8D650
Adrenal_Gland	8324708	8322627	#A8D650
Adrenal_Gland	8289482	8285242	#A8D650
Adrenal_Gland	7775201	7771012	#A8D650
Adrenal_Gland	8693785	8693268	#A8D650
Adrenal_Gland	7158978	7157743	#A8D650
Adrenal_Gland	7144926	7143291	#A8D650
Adrenal_Gland	7488042	7487320	#A8D650
Esophagus	9244726	9187305	#AF8C5C
Esophagus	5470476	5469106	#AF8C5C
Esophagus	9768965	9761188	#AF8C5C
Esophagus	8684096	8646322	#AF8C5C
Esophagus	6627984	6626950	#AF8C5C
Esophagus	5824566	5822571	#AF8C5C
Esophagus	5570071	5568021	#AF8C5C
Esophagus	8053396	8052084	#AF8C5C
Esophagus	6377999	6361488	#AF8C5C
Liver	7473426	7465743	#69AE6A
Liver	5101106	5100661	#69AE6A
Liver	8109935	8108814	#69AE6A
Liver	7092667	7084478	#69AE6A
Liver	7274164	7268920	#69AE6A
Liver	8349113	8348928	#69AE6A
Liver	4724370	4724087	#69AE6A
Liver	5974403	5974106	#69AE6A
Liver	8474637	8474043	#69AE6A
Liver	10513617	10507529	#69AE6A
Skin	5880495	5878237	#3A71A4
Skin	7841469	7837462	#3A71A4
Skin	7841226	7840672	#3A71A4
Skin	5540699	5537298	#3A71A4
Skin	6249223	6247999	#3A71A4
Skin	8672226	8662324	#3A71A4
Skin	7733386	7731624	#3A71A4
Skin	6104663	6098934	#3A71A4
Skin	7125348	7120206	#3A71A4
Skin	6390091	6266831	#3A71A4
Diaphragm	4087790	4086282	#00CED1
Diaphragm	5867555	5864954	#00CED1
Diaphragm	5882900	5860051	#00CED1
Diaphragm	6576469	6575835	#00CED1
Diaphragm	5680569	5678884	#00CED1
Diaphragm	7320564	7314219	#00CED1
Diaphragm	6417759	6412581	#00CED1
Diaphragm	6708602	6662672	#00CED1
Diaphragm	6706613	6700597	#00CED1
Diaphragm	4424526	4422930	#00CED1
Pancreas_Body	7898291	7897983	#902222
Pancreas_Body	6287586	6287413	#902222
Pancreas_Body	7203113	7202568	#902222
Pancreas_Body	6613655	6613269	#902222
Pancreas_Body	7769828	7769414	#902222
Pancreas_Body	8521746	8521224	#902222
Pancreas_Body	7187449	7186601	#902222
Pancreas_Body	8311553	8310567	#902222
Pancreas_Body	7858576	7858299	#902222
Pancreas_Body	7460900	7460312	#902222
Aortic_Arch	7066470	7064926	#758E90
Aortic_Arch	6639005	6637225	#758E90
Aortic_Arch	7099994	7085189	#758E90
Aortic_Arch	5477684	5477033	#758E90
Heart_Left_Atrium	5910429	5906557	#6F1F71
Heart_Left_Atrium	10878283	10877672	#6F1F71
Heart_Left_Atrium	6886519	6886126	#6F1F71
Heart_Left_Atrium	5932095	5931630	#6F1F71
Thoracic_Aorta	4804428	4803069	#7e888e
Thoracic_Aorta	5176922	5174554	#7e888e
Thoracic_Aorta	5292400	5288831	#7e888e
Heart_Left_Ventricle	6123558	6123280	#9C5CA1
Heart_Left_Ventricle	5126036	5124767	#9C5CA1
Heart_Left_Ventricle	7778545	7775465	#9C5CA1
Heart_Left_Ventricle	7751689	7750895	#9C5CA1
Heart_Right_Ventricle	8086900	8063751	#A780A0
Heart_Right_Ventricle	6304683	6304157	#A780A0
Heart_Right_Ventricle	6712456	6711339	#A780A0
Heart_Right_Ventricle	5468698	5467238	#A780A0
Whole_Blood	8748609	8747743	#CC418D
Whole_Blood	5038079	5011374	#CC418D
Whole_Blood	10940731	10938928	#CC418D
Whole_Blood	5852371	5851680	#CC418D
Whole_Blood	8311902	8309652	#CC418D
Whole_Blood	8200592	8195849	#CC418D
Whole_Blood	6660138	6612198	#CC418D
Whole_Blood	6539913	6539156	#CC418D
Whole_Blood	9423268	9418057	#CC418D
Colon	7169198	7162409	#E7C08D
Colon	8867577	8861352	#E7C08D
Colon	7626078	7614065	#E7C08D
Colon	7776587	7733274	#E7C08D
Spleen	7516180	7514858	#768454
Spleen	6347628	6346882	#768454
Spleen	7012652	7012101	#768454
Spleen	7221714	7219983	#768454
Spleen	7377862	7376762	#768454
Spleen	6291459	6290285	#768454
Spleen	8504298	8503843	#768454
Spleen	8978654	8978152	#768454
Spleen	9866010	9864649	#768454
Spleen	6594990	6593506	#768454
Uterus	6002381	6000245	#E35656
Uterus	6140357	6139176	#E35656
Muscle	7207770	7205440	#7080BD
Muscle	7536203	7533927	#7080BD
Muscle	8032517	8027663	#7080BD
Muscle	7176763	7173530	#7080BD
Muscle	7465475	7463361	#7080BD
Muscle	7811760	7810619	#7080BD
Muscle	7676285	7674404	#7080BD
Muscle	7897752	7895922	#7080BD
Muscle	6325320	6325162	#7080BD
Muscle	6104028	6101839	#7080BD
Adipose	7589336	7585001	#E59525
Adipose	6894353	6889868	#E59525
Adipose	6542410	6541263	#E59525
Adipose	8204621	8203177	#E59525
Adipose	6780300	6778690	#E59525
Adipose	6950285	6949839	#E59525
Adipose	7371229	7370715	#E59525
Adipose	6769378	6767728	#E59525
Adipose	6978235	6977128	#E59525
Stomach	7114311	7111534	#F8D895
Stomach	5379191	5378161	#F8D895
Stomach	6120815	6120172	#F8D895
Stomach	6531091	6528740	#F8D895
Small_Intestine	7394591	7393766	#535426
Small_Intestine	5725406	5722903	#535426
Small_Intestine	7657603	7656016	#535426
Abdominal_Aorta	5509160	5508255	#cbc5d3
Abdominal_Aorta	4626501	4619985	#cbc5d3
Lung_Apex	6830345	6828640	#76ADB8
Lung_Apex	6492060	6491154	#76ADB8
Lung_Apex	9129405	9128892	#76ADB8
Lung_Apex	8139617	8134939	#76ADB8
Pancreas_Tail	7013181	7011809	#E59276
Pancreas_Tail	7031534	7031166	#E59276
Pancreas_Tail	7255010	7254287	#E59276
Pancreas_Tail	7543936	7543640	#E59276
Prostate	4835971	4834170	#0CE3C3
Prostate	7042121	7040788	#0CE3C3
Prostate	4770284	4764726	#0CE3C3
Prostate	7015625	7013715	#0CE3C3
Heart_Mitral_Valve	5103761	5103342	#BA91BC
Heart_Mitral_Valve	4856759	4856134	#BA91BC
Heart_Mitral_Valve	6099272	6096522	#BA91BC
Heart_Right_Atrium	6571014	6570488	#8466A6
Heart_Right_Atrium	10333926	10332708	#8466A6
Heart_Right_Atrium	6146207	6145766	#8466A6
Heart_Right_Atrium	8510496	8510010	#8466A6
Lymph_node	5666650	5666156	#ACAA95
Lymph_node	5906865	5905791	#ACAA95
Lymph_node	8471575	8470521	#ACAA95
Lung_Base	5902314	5901315	#AECBD1
Lung_Base	6582582	6582008	#AECBD1
Lung_Base	8751747	8750521	#AECBD1
Ovary	6088360	6087354	#DF898D
Heart_Tricuspid_Valve	5310279	5309763	#9F98BF
Heart_Tricuspid_Valve	5742312	5741215	#9F98BF
Heart_Tricuspid_Valve	5238245	5237590	#9F98BF
Heart_Tricuspid_Valve	4924370	4923922	#9F98BF
Common_Iliac_Artery	6220983	6218727	#d0d1e6
Trachea	5534595	5533589	#D285A5
