type	consequence_severe	total_in_type	count	pro
2	3UTR	439216	4303	0.00979700193071291
2	5UTR	439216	779	0.00177361480456085
2	Coding	439216	276	0.000628392408291137
2	Downstream	439216	17033	0.0387804633710976
2	Intergenic	439216	153366	0.349181268441951
2	Intron	439216	241548	0.549952642890969
2	Upstream	439216	21911	0.049886616152417
3	3UTR	236068	3500	0.0148262365081248
3	5UTR	236068	2661	0.0112721758137486
3	Coding	236068	3967	0.016804480065066
3	Downstream	236068	9584	0.0405984716268194
3	Intergenic	236068	72489	0.307068302353559
3	Intron	236068	129882	0.550188928613789
3	Upstream	236068	13985	0.0592414050188929
4	3UTR	253801	2013	0.00793141082974456
4	5UTR	253801	518	0.00204096910571668
4	Coding	253801	114	0.000449170807049618
4	Downstream	253801	11700	0.046099109144566
4	Intergenic	253801	83660	0.32962833085764
4	Intron	253801	140090	0.551967880347201
4	Upstream	253801	15706	0.0618831289080815
5	3UTR	85279	742	0.00870085249592514
5	5UTR	85279	264	0.00309572110367148
5	Coding	85279	42	0.000492501084675008
5	Downstream	85279	3774	0.04425474032294
5	Intergenic	85279	31484	0.369188194045427
5	Intron	85279	43763	0.513174404015056
5	Upstream	85279	5210	0.0610935869323046
6	3UTR	31846	380	0.0119324247943227
6	5UTR	31846	228	0.00715945487659361
6	Coding	31846	221	0.00693964705143503
6	Downstream	31846	1475	0.0463166488726999
6	Intergenic	31846	9134	0.286817810714061
6	Intron	31846	18255	0.573227406895686
6	Upstream	31846	2153	0.0676066067952019
VNTR	3UTR	49156	411	0.00836113597526243
VNTR	5UTR	49156	278	0.00565546423630889
VNTR	Coding	49156	191	0.00388558873789568
VNTR	Downstream	49156	2329	0.0473797705264871
VNTR	Intergenic	49156	15276	0.31076572544552
VNTR	Intron	49156	27566	0.560786068842054
VNTR	Upstream	49156	3105	0.0631662462364716
