chrom	strand	transcript_id	annotation	feature	start	end
chr12	-	GTOPT000378535	Novel	exon	110909996	110911175
chr12	-	GTOPT000378535	Novel	CDS	110911077	110911175
chr12	-	GTOPT000378535	Novel	exon	110913096	110913144
chr12	-	GTOPT000378535	Novel	CDS	110913096	110913144
chr12	-	GTOPT000378535	Novel	exon	110913246	110913324
chr12	-	GTOPT000378535	Novel	CDS	110913246	110913324
chr12	-	GTOPT000378535	Novel	exon	110914186	110914290
chr12	-	GTOPT000378535	Novel	CDS	110914186	110914290
chr12	-	GTOPT000378535	Novel	exon	110915715	110915790
chr12	-	GTOPT000378535	Novel	CDS	110915715	110915790
chr12	-	GTOPT000378535	Novel	CDS	110920527	110920529
chr12	-	GTOPT000378535	Novel	exon	110920527	110920600
chr12	-	ENST00000228841.15	Annotated	exon	110910845	110911175
chr12	-	ENST00000228841.15	Annotated	CDS	110911080	110911175
chr12	-	ENST00000228841.15	Annotated	exon	110913096	110913144
chr12	-	ENST00000228841.15	Annotated	CDS	110913096	110913144
chr12	-	ENST00000228841.15	Annotated	exon	110913246	110913324
chr12	-	ENST00000228841.15	Annotated	CDS	110913246	110913324
chr12	-	ENST00000228841.15	Annotated	exon	110914186	110914290
chr12	-	ENST00000228841.15	Annotated	CDS	110914186	110914290
chr12	-	ENST00000228841.15	Annotated	exon	110915715	110915790
chr12	-	ENST00000228841.15	Annotated	CDS	110915715	110915790
chr12	-	ENST00000228841.15	Annotated	exon	110919104	110919193
chr12	-	ENST00000228841.15	Annotated	CDS	110919104	110919193
chr12	-	ENST00000228841.15	Annotated	CDS	110920527	110920529
chr12	-	ENST00000228841.15	Annotated	exon	110920527	110920579
chr12	-	ENST00000548438.1	Annotated	exon	110910918	110911175
chr12	-	ENST00000548438.1	Annotated	CDS	110911080	110911175
chr12	-	ENST00000548438.1	Annotated	exon	110913096	110913144
chr12	-	ENST00000548438.1	Annotated	CDS	110913096	110913144
chr12	-	ENST00000548438.1	Annotated	exon	110913246	110913324
chr12	-	ENST00000548438.1	Annotated	CDS	110913246	110913324
chr12	-	ENST00000548438.1	Annotated	exon	110914186	110914324
chr12	-	ENST00000548438.1	Annotated	CDS	110914186	110914324
chr12	-	ENST00000548438.1	Annotated	exon	110919104	110919193
chr12	-	ENST00000548438.1	Annotated	CDS	110919104	110919193
chr12	-	ENST00000548438.1	Annotated	CDS	110920527	110920529
chr12	-	ENST00000548438.1	Annotated	exon	110920527	110920575
