start_distance	VarSubType
-15926	SNV
-399	SNV
-8047	SNV
20278	SNV
-72313	SNV
-21727	SNV
-36649	SNV
14093	SNV
27439	SNV
-128193	SNV
-21811	SNV
-98608	SNV
-5379	SNV
723906	SNV
-44247	SNV
-10892	SNV
51571	SNV
5838	SNV
4257	SNV
61246	SNV
-28425	SNV
51006	SNV
-88385	SNV
-102129	SNV
-11180	SNV
-82720	SNV
-11372	SNV
-488748	SNV
-29173	SNV
-8686	SNV
59771	SNV
-16	SNV
14970	SNV
-28873	SNV
-2227	SNV
-787091	SNV
11643	SNV
15989	SNV
24999	SNV
-41616	SNV
17352	SNV
-10675	SNV
154624	SNV
44125	SNV
25523	SNV
-57034	SNV
41098	SNV
209127	SNV
-100263	SNV
-119906	SNV
-131104	SNV
-382182	SNV
34029	SNV
-28700	SNV
11277	SNV
-64476	SNV
-564	SNV
5941	SNV
34218	SNV
-32888	SNV
44852	SNV
32478	SNV
-7539	SNV
-750	SNV
-4114	SNV
2370	SNV
26128	SNV
128802	SNV
2299	SNV
879729	SNV
-9056	SNV
132576	SNV
-47779	SNV
379	SNV
-724017	SNV
266698	SNV
-68604	SNV
-11193	SNV
29423	SNV
40812	SNV
28	SNV
49590	SNV
-3823	SNV
-25998	SNV
-98384	SNV
-16679	SNV
69412	SNV
71465	SNV
-3864	SNV
-1035	SNV
-120432	SNV
-24149	SNV
588	SNV
-49811	SNV
-272135	SNV
64725	SNV
527904	SNV
-15520	SNV
59967	SNV
-129065	SNV
13597	SNV
-19998	SNV
16964	SNV
6130	SNV
-23012	SNV
85439	SNV
-6277	SNV
-127692	SNV
-258098	SNV
-127865	SNV
-328261	SNV
186926	SNV
72938	SNV
96332	SNV
99050	SNV
-38810	SNV
7820	SNV
205254	SNV
-23716	SNV
311730	SNV
-28176	SNV
-7384	SNV
-4304	SNV
-158295	SNV
21492	SNV
-84943	SNV
3353	SNV
11948	SNV
-3665	SNV
-5828	SNV
4801	SNV
-47387	SNV
-95883	SNV
18285	SNV
-10540	SNV
-123772	SNV
338	SNV
61087	SNV
-852412	SNV
-56288	SNV
-29832	SNV
66460	SNV
22846	SNV
-411663	SNV
-55015	SNV
-283	SNV
19054	SNV
16298	SNV
-70806	SNV
607535	SNV
354737	SNV
20367	SNV
-28535	SNV
79778	SNV
29818	SNV
-234	SNV
22993	SNV
27282	SNV
30752	SNV
11456	SNV
5007	SNV
111	SNV
-13947	SNV
-41748	SNV
57981	SNV
-957	SNV
-23299	SNV
60973	SNV
-199102	SNV
70732	SNV
4580	SNV
35116	SNV
41371	SNV
319277	SNV
256569	SNV
113529	SNV
-20497	SNV
178180	SNV
-9629	SNV
376960	SNV
338620	SNV
277109	SNV
-259614	SNV
276941	SNV
160446	SNV
-896154	SNV
24816	SNV
24538	SNV
7056	SNV
-657594	SNV
97910	SNV
2907	SNV
5180	SNV
-287628	SNV
-336001	SNV
-365811	SNV
-365858	SNV
-365953	SNV
-367185	SNV
-237131	SNV
-433850	SNV
-239868	SNV
174351	SNV
-134832	SNV
-669545	SNV
-66651	SNV
-232512	SNV
-109613	SNV
-115160	SNV
38319	SNV
181	SNV
2963	SNV
-66070	SNV
-254176	SNV
64190	SNV
-29749	SNV
-18047	SNV
-45325	SNV
-38504	SNV
-113162	SNV
331937	SNV
304568	SNV
-16199	SNV
-57121	SNV
-106519	SNV
-132884	SNV
128667	SNV
-14632	SNV
-4985	SNV
1598	SNV
-235051	SNV
3818	SNV
114419	SNV
-56890	SNV
-95089	SNV
-95111	SNV
-72318	SNV
-18735	SNV
-25659	SNV
-40375	SNV
27849	SNV
-6243	SNV
-104890	SNV
48257	SNV
162759	SNV
23730	SNV
15388	SNV
133562	SNV
9207	SNV
-137	SNV
1256	SNV
-66	SNV
25915	SNV
-23925	SNV
-33307	SNV
-55656	SNV
23087	SNV
-12381	SNV
-35965	SNV
-36088	SNV
-8188	SNV
-33175	SNV
23231	SNV
-15999	SNV
-8749	SNV
159560	SNV
137186	SNV
-16077	SNV
-4325	SNV
-641828	SNV
-407895	SNV
2020	SNV
-24871	SNV
220456	SNV
1992	SNV
21221	SNV
7544	SNV
228	SNV
-150	SNV
-1602	SNV
8642	SNV
-139	SNV
7066	SNV
-9617	SNV
-664	SNV
-8159	SNV
-99864	SNV
-92638	SNV
23655	SNV
-8108	SNV
7956	SNV
58443	SNV
-14891	SNV
-9812	SNV
-65770	SNV
-23504	SNV
46697	SNV
6937	SNV
135966	SNV
-4885	SNV
19041	SNV
37618	SNV
18149	SNV
-13410	SNV
-47	SNV
-7696	SNV
-62814	SNV
22298	SNV
-694836	SNV
26473	SNV
2440	SNV
-806825	SNV
7649	SNV
-559500	SNV
94766	SNV
-11232	SNV
6577	SNV
-1588	SNV
1944	SNV
-763	SNV
678	SNV
27949	SNV
-53556	SNV
3915	SNV
-33228	SNV
-5372	SNV
23	SNV
-11693	SNV
-28068	SNV
-43707	SNV
-53102	SNV
-76495	SNV
-94636	SNV
-7277	SNV
307378	SNV
-232822	SNV
14156	SNV
14143	SNV
-150	SNV
-497058	SNV
-118	SNV
73769	SNV
-24021	SNV
-560709	SNV
15497	SNV
-6426	SNV
517465	SNV
-6282	SNV
67820	SNV
7493	SNV
24706	SNV
-4366	SNV
-9624	SNV
651	SNV
589	SNV
-4816	SNV
449720	SNV
-518536	SNV
-142430	SNV
79060	SNV
1247	SNV
7881	SNV
35906	SNV
13693	SNV
-25169	SNV
210968	SNV
227514	SNV
1318	SNV
77776	SNV
181242	SNV
125176	SNV
732116	SNV
650298	SNV
584294	SNV
247899	SNV
-5153	SNV
-20185	SNV
55723	SNV
41949	SNV
-16959	SNV
-50190	SNV
108235	SNV
47552	SNV
-77324	SNV
-23375	SNV
-39733	SNV
-47702	SNV
23992	SNV
28910	SNV
-286951	SNV
-80678	SNV
5998	SNV
383198	SNV
-511298	SNV
-28087	SNV
73704	SNV
157947	SNV
942537	SNV
938125	SNV
830818	SNV
-245076	SNV
802466	SNV
-11910	SNV
-29664	SNV
-160	SNV
-256	SNV
-137687	SNV
-1028	SNV
-36805	SNV
59823	SNV
-63000	SNV
-63035	SNV
-66681	SNV
-180690	SNV
53658	SNV
-106620	SNV
-3553	SNV
-462001	SNV
-451212	SNV
-37558	SNV
21067	SNV
-598300	SNV
14472	SNV
460400	SNV
44716	SNV
-70827	SNV
13699	SNV
10876	SNV
-124406	SNV
4645	SNV
6558	SNV
53972	SNV
17152	SNV
61460	SNV
2096	SNV
-1051	SNV
-81573	SNV
129770	SNV
-26780	SNV
150575	SNV
-6055	SNV
-36888	SNV
-216924	SNV
-358751	SNV
-64101	SNV
-81867	SNV
-374258	SNV
-4305	SNV
106812	SNV
193394	SNV
150721	SNV
64982	SNV
-261	SNV
-127477	SNV
14545	SNV
-74345	SNV
-60566	SNV
73454	SNV
-17522	SNV
-14823	SNV
-640	SNV
20105	SNV
-13544	SNV
-61611	SNV
34604	SNV
164597	SNV
20075	SNV
10800	SNV
-105192	SNV
-106364	SNV
-121472	SNV
-138817	SNV
45379	SNV
-2490	SNV
-34133	SNV
-170208	SNV
-9862	SNV
-376818	SNV
-44349	SNV
-114290	SNV
-18470	SNV
-1	SNV
-372357	SNV
-45549	SNV
-12420	SNV
-27551	SNV
-9208	SNV
308072	SNV
-26851	SNV
198	SNV
-57174	SNV
54461	SNV
143583	SNV
-29208	SNV
5276	SNV
84845	SNV
84656	SNV
-235422	SNV
-136267	SNV
-222995	SNV
42754	SNV
-27365	SNV
49545	SNV
-51953	SNV
719	SNV
16302	SNV
-142360	SNV
-4995	SNV
124735	SNV
17148	SNV
64266	SNV
-1689	SNV
-21841	SNV
112858	SNV
-7450	SNV
-60669	SNV
12956	SNV
487041	SNV
12809	SNV
70684	SNV
2232	SNV
7620	SNV
-13513	SNV
-25559	SNV
44266	SNV
3829	SNV
-47263	SNV
-4443	SNV
-1954	SNV
11366	SNV
-6296	SNV
18515	SNV
-11908	SNV
2751	SNV
286890	SNV
832405	SNV
9934	SNV
-18104	SNV
-5171	SNV
41797	SNV
49432	SNV
-6530	SNV
237443	SNV
366910	SNV
557	SNV
156200	SNV
62654	SNV
58058	SNV
-30604	SNV
-38514	SNV
-23860	SNV
-55498	SNV
-19320	SNV
11296	SNV
9829	SNV
-803254	SNV
-9530	SNV
-3599	SNV
-2405	SNV
40619	SNV
4917	SNV
-58	SNV
-61245	SNV
948	SNV
948	SNV
-6983	SNV
-2444	SNV
-5268	SNV
414690	SNV
11778	SNV
-35273	SNV
317729	SNV
-81850	SNV
27624	SNV
44288	SNV
15012	SNV
-294334	SNV
-1788	SNV
6305	SNV
82	SNV
12621	SNV
15215	SNV
891050	SNV
26152	SNV
-65509	SNV
18299	SNV
135718	SNV
-304455	SNV
291766	SNV
986241	SNV
984851	SNV
