pheno	sample	sv	sv_geno
-1.110772	GTOP-AJ141	0/0	0
-0.6850168	GTOP-AJ142	0/1	1
-2.216363	GTOP-AJ211	0/1	1
-0.1509692	GTOP-AJ221	0/0	0
-0.3943355	GTOP-AJ231	0/1	1
-0.08365173	GTOP-AK111	0/1	1
0.4676988	GTOP-AK112	0/1	1
0.6433454	GTOP-AK221	1/1	2
0.8180418	GTOP-AK231	0/1	1
0.01671163	GTOP-AK281	0/1	1
0.8416212	GTOP-AL091	0/1	1
0.3406948	GTOP-AL121	0/0	0
-0.7063026	GTOP-AL271	0/0	0
1.174987	GTOP-BA041	1/1	2
-0.3230377	GTOP-BA081	0/1	1
-0.7498695	GTOP-BA082	0/0	0
0.2706416	GTOP-BA091	0/1	1
-1.750686	GTOP-BA101	0/0	0
0.08365173	GTOP-BA102	0/1	1
1.022241	GTOP-BA131	0/1	1
-0.4864239	GTOP-BA132	0/1	1
1.613358	GTOP-BA191	1/1	2
2.47474	GTOP-BA211	1/1	2
-0.7279133	GTOP-BA231	0/1	1
1.320504	GTOP-BA232	1/1	2
-0.7949086	GTOP-BA251	0/0	0
-0.8180418	GTOP-BB011	0/1	1
2.216363	GTOP-BB201	1/1	2
1.451407	GTOP-BB202	0/1	1
0.6027625	GTOP-BB251	1/1	2
0	GTOP-BC041	1/1	2
-0.01671163	GTOP-BC061	0/1	1
0.3943355	GTOP-BC161	0/1	1
-0.4307273	GTOP-BC181	1/1	2
-2.47474	GTOP-BD011	0/0	0
-0.9153651	GTOP-BD201	0/1	1
0.2189787	GTOP-BE141	0/1	1
0.5244005	GTOP-BE161	0/0	0
-0.2189787	GTOP-BE181	0/1	1
0.184867	GTOP-BE221	0/1	1
1.080319	GTOP-BF221	0/1	1
0.9674216	GTOP-BF251	1/1	2
-0.4676988	GTOP-BF271	1/1	2
0.5436728	GTOP-BG091	0/0	0
1.501086	GTOP-BG171	0/1	1
2.053749	GTOP-BG291	1/1	2
1.554774	GTOP-BG311	0/1	1
0.167894	GTOP-BH101	0/1	1
0.05015358	GTOP-BH131	0/1	1
-1.613358	GTOP-BH171	0/0	0
0.3230377	GTOP-BH271	0/1	1
-0.1340876	GTOP-BI071	0/0	0
1.750686	GTOP-BI281	1/1	2
0.8656782	GTOP-BJ111	0/1	1
-1.833915	GTOP-BJ131	0/0	0
1.405072	GTOP-BJ141	1/1	2
-0.8902469	GTOP-BJ171	0/0	0
-1.050837	GTOP-BJ191	0/0	0
-0.05015358	GTOP-BJ201	0/0	0
0.4124631	GTOP-BK021	0/1	1
0.3763366	GTOP-BK071	0/1	1
0.4864239	GTOP-BK161	0/1	1
-0.3763366	GTOP-BK191	0/1	1
0.2533471	GTOP-BK251	0/0	0
-1.405072	GTOP-BK261	0/0	0
1.281552	GTOP-BK281	0/1	1
-0.5053211	GTOP-BL021	0/0	0
1.244452	GTOP-BL091	0/1	1
-0.7721932	GTOP-BL151	0/0	0
0.117244	GTOP-BL161	1/1	2
-1.14229	GTOP-BL221	0/1	1
1.678071	GTOP-BL261	0/0	0
0.5053211	GTOP-BL271	0/1	1
-0.6229257	GTOP-CA031	0/1	1
0.3584588	GTOP-CA081	0/1	1
-0.2018935	GTOP-CA121	0/1	1
-1.281552	GTOP-CA161	0/1	1
-0.9674216	GTOP-CA171	0/1	1
1.833915	GTOP-CA181	1/1	2
0.06689328	GTOP-CA231	0/1	1
1.20899	GTOP-CA241	0/1	1
-0.9944579	GTOP-CB051	0/1	1
0.1340876	GTOP-CB052	0/1	1
0.6850168	GTOP-CB121	0/1	1
-1.244452	GTOP-CB151	0/1	1
1.932212	GTOP-CB161	0/1	1
0.6229257	GTOP-CB261	1/1	2
1.14229	GTOP-CB271	1/1	2
-1.451407	GTOP-CB281	0/1	1
-0.184867	GTOP-CC031	0/1	1
-0.3584588	GTOP-CC041	0/0	0
-0.5828415	GTOP-CC061	0/1	1
-0.5436728	GTOP-CC121	0/1	1
0.7279133	GTOP-CC131	0/1	1
0.236128	GTOP-CC141	0/1	1
1.050837	GTOP-CC201	0/1	1
-0.06689328	GTOP-CC231	0/1	1
0.7063026	GTOP-CC241	0/1	1
0.6640369	GTOP-CC251	0/1	1
0.4307273	GTOP-CC291	1/1	2
-0.1004337	GTOP-CC311	0/0	0
-1.361571	GTOP-CD021	0/0	0
-0.236128	GTOP-CD121	0/0	0
0.2880175	GTOP-CE111	0/1	1
0.1004337	GTOP-CE131	0/1	1
-0.2533471	GTOP-CE141	1/1	2
-1.932212	GTOP-CE161	0/0	0
-0.4491363	GTOP-CF011	1/1	2
0.9153651	GTOP-CF051	0/1	1
0.1509692	GTOP-CF121	0/1	1
-0.03342793	GTOP-CF201	0/0	0
-0.8416212	GTOP-CF221	0/0	0
-0.6027625	GTOP-CF241	0/1	1
-0.8656782	GTOP-CF242	0/1	1
1.110772	GTOP-CF301	1/1	2
-0.2706416	GTOP-CG041	0/0	0
-0.117244	GTOP-CG061	0/1	1
0.03342793	GTOP-CG071	0/1	1
-0.6433454	GTOP-CG091	0/0	0
-0.6640369	GTOP-CG111	1/1	2
-1.320504	GTOP-CG171	0/1	1
-0.5631491	GTOP-CG172	0/1	1
0.9410745	GTOP-CG191	0/1	1
-1.022241	GTOP-CG211	0/1	1
-1.678071	GTOP-CG261	0/0	0
0.2018935	GTOP-CG271	0/0	0
-0.167894	GTOP-CH081	0/1	1
-0.5244005	GTOP-CH082	0/0	0
-0.3406948	GTOP-CH091	0/1	1
-1.174987	GTOP-CH102	0/0	0
0.7721932	GTOP-CI161	0/1	1
-0.9410745	GTOP-CI201	0/0	0
-1.501086	GTOP-CI211	0/0	0
0.5631491	GTOP-CI221	0/1	1
0.9944579	GTOP-CI222	1/1	2
-2.053749	GTOP-CI231	0/0	0
-1.554774	GTOP-CI251	0/0	0
-1.20899	GTOP-CI291	0/0	0
-0.3054808	GTOP-CI301	0/1	1
-0.4124631	GTOP-CJ091	0/1	1
0.5828415	GTOP-CJ092	0/1	1
1.361571	GTOP-CJ093	1/1	2
-0.2880175	GTOP-CJ151	0/1	1
-1.080319	GTOP-CJ231	0/1	1
0.4491363	GTOP-CK031	1/1	2
0.3054808	GTOP-CL111	0/1	1
0.7949086	GTOP-CL141	0/1	1
0.8902469	GTOP-CL161	0/1	1
0.7498695	GTOP-CL171	1/1	2
