gtopt_id_structure	mane_id_structure	tm_score_selected	tmalign_status	pair_status	return_code	pair_index	gtopt_key	mane_key	tmalign_status_key	pair_status_key	valid_tmalign_status	valid_pair_status	valid_return_code	domain_category	length_group	sequence_change_category	structure_changed	structure_status
GTOPT000003267	ENST00000476993.2	0.24423	ok	READY	0	1	GTOPT000003267	ENST00000476993	ok	READY	TRUE	TRUE	TRUE	Complex domain change	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000010524	ENST00000361221.8	0.73879	ok	READY	0	3	GTOPT000010524	ENST00000361221	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000012169	ENST00000337107.11	0.33509	ok	READY	0	4	GTOPT000012169	ENST00000337107	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000012190	ENST00000337107.11	0.87368	ok	READY	0	5	GTOPT000012190	ENST00000337107	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000012236	ENST00000337107.11	0.92437	ok	READY	0	6	GTOPT000012236	ENST00000337107	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000013507	ENST00000400181.9	0.80532	ok	READY	0	7	GTOPT000013507	ENST00000400181	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000015852	ENST00000374168.7	0.91496	ok	READY	0	8	GTOPT000015852	ENST00000374168	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000016863	ENST00000373921.8	0.52077	ok	READY	0	9	GTOPT000016863	ENST00000373921	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000017646	ENST00000343067.9	0.40436	ok	READY	0	10	GTOPT000017646	ENST00000343067	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000018998	ENST00000336890.10	0.43978	ok	READY	0	11	GTOPT000018998	ENST00000336890	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000020146	ENST00000373191.9	0.7201	ok	READY	0	12	GTOPT000020146	ENST00000373191	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000020455	ENST00000474796.2	0.07182	ok	READY	0	13	GTOPT000020455	ENST00000474796	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000020548	ENST00000354618.10	0.08208	ok	READY	0	14	GTOPT000020548	ENST00000354618	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000025014	ENST00000361799.7	0.14836	ok	READY	0	20	GTOPT000025014	ENST00000361799	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000025959	ENST00000372003.6	0.66889	ok	READY	0	22	GTOPT000025959	ENST00000372003	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000027223	ENST00000428468.6	0.58151	ok	READY	0	23	GTOPT000027223	ENST00000428468	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000028226	ENST00000343744.7	0.9335	ok	READY	0	24	GTOPT000028226	ENST00000343744	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
